Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
ABP Food Group,['2030'],,,1,ABP Food Group also commits to reduce absolute scope 3 GHG emissions from purchased goods and services (raw materials and packaging) 17% by 2030 from a 2016 base year,x,,
ACC Limited,['2030'],,,0,ACC Limited commits to reduce scope 1 GHG emissions 21,,,
ACC Limited,['2030'],,,1,3% per ton of cementitious material by 2030 from a 2018 base year*,x,,
ACC Limited,['2030'],,,2,ACC Limited also commits to reduce scope 2 GHG emissions 48,,,
ACC Limited,['2030'],,,3,4% per ton of cementitious material within the same timeframe,,,
ACC Limited,['2030'],,,4,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
ACCIONA S.A.,['2030'],,,0,Renewable energy and sustainable infrastructure company ACCIONA commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2017 base year,x,,
ACCIONA S.A.,['2030'],,,1,"ACCIONA also commits to reduce absolute scope 3 GHG emissions 47% by 2030 from a 2017 base year, covering emissions from purchased goods and services, capital goods, energy-related activities, upstream transportation and distribution, employee commuting and use of sold products",x,,
AD-II ENGINEERING INC.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
AD-II ENGINEERING INC.,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ AD-II ENGINEERING INC. commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
AECOM,['2025'],"['FY2040', '2040']",['2040'],0,Overall Net-Zero Target,,,
AECOM,['2025'],"['FY2040', '2040']",['2040'],1,AECOM commits to reach net-zero GHG emissions across the value chain by FY2040 from a FY2018 base year,,x,x
AECOM,['2025'],"['FY2040', '2040']",['2040'],2,Near-Term Targets,,,
AECOM,['2025'],"['FY2040', '2040']",['2040'],3,AECOM commits to reduce absolute scope 1 and 2 GHG emissions 60% by FY2030 from a FY2018 base year,,,
AECOM,['2025'],"['FY2040', '2040']",['2040'],4,"AECOM commits to reduce absolute scope 3 GHG emissions from purchased goods & services, capital goods, and business travel 50% by FY2030 from a FY2018 base year",,,
AECOM,['2025'],"['FY2040', '2040']",['2040'],5,Long-Term Targets,,,
AECOM,['2025'],"['FY2040', '2040']",['2040'],6,AECOM commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2040 from a FY2018 base year,,x,x
AECOM,['2025'],"['FY2040', '2040']",['2040'],7,"AECOM also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, and business travel 90% by FY2040 from a FY2018 base year",,x,x
AFRY (ÅF Pöyry),['2027'],,,0,AFRY commits to reduce absolute scope 1 and 2 GHG emissions 36% by 2027 from a 2019 base year,x,,
AFRY (ÅF Pöyry),['2027'],,,1,AFRY also commits to reduce absolute scope 3 GHG emissions from business travel 36% within the same timeframe,,,
AFRY (ÅF Pöyry),['2027'],,,2,AFRY further commits that 87% of its suppliers by spend covering purchased goods and services and capital goods will set science-based targets by 2027,x,,
AIRINC,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
AIRINC,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ AIRINC commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
AKISTEEL CO.LTD,['2030'],,,0,"""This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs)",,,
AKISTEEL CO.LTD,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ AKISTEEL CO.LTD commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
ALDI Einkauf SE & Co. oHG,['2030'],,,0,ALDI Einkauf SE & Co,,,
ALDI Einkauf SE & Co. oHG,['2030'],,,1,ohG (ALDI Nord Group of companies) commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2020 base year,x,,
ALDI Einkauf SE & Co. oHG,['2030'],,,2,*ALDI Einkauf SE & Co,,,
ALDI Einkauf SE & Co. oHG,['2030'],,,3,ohG (ALDI Nord Group of companies) also commits that 75% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2024,,,
ALDI Einkauf SE & Co. oHG,['2030'],,,4,*The target boundary includes land-related emissions and removals from bioenergy feedstocks,,,
ALDI SOUTH Group,"['2025', '2024']",,,0,ALDI SOUTH Group commits to reduce absolute scope 1 and 2 GHG emissions 26% by 2025 from a 2016 base year,x,,
ALDI SOUTH Group,"['2025', '2024']",,,1,ALDI SOUTH group also commits that 75% of its suppliers by emissions covering purchased goods will have science-based targets by 2024,x,,
ALDI SOUTH Group,"['2025', '2024']",,,2,* The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
ALDO Group Inc.,['2030'],,,0,Canadian shoe and accessories chain retailer The ALDO Group commits to reduce absolute scope 1 and 2 GHG emissions 40% by 2030 from a 2016 base year,x,,
ALDO Group Inc.,['2030'],,,1,The ALDO Group also commits to reduce scope 3 GHG emissions from footwear manufacturing and materials 30% per pair of shoes by 2030 from a 2016 base yea,x,,
ALIMAC s.r.l.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
ALIMAC s.r.l.,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ ALIMAC s,,,
ALIMAC s.r.l.,['2030'],,,2,r,,,
ALIMAC s.r.l.,['2030'],,,3,l,,,
ALIMAC s.r.l.,['2030'],,,4,"commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"ALMETAX MANUFACTURING CO.,LTD.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"ALMETAX MANUFACTURING CO.,LTD.",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ALMETAX MANUFACTURING CO.,LTD. commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
AM Værktøj Odense A/S,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
AM Værktøj Odense A/S,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ AM Værktøj Odense A/S commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
AMF FASTIGHETER AB,['2030'],,,0,AMF Fastigheter commits to reduce absolute scope 1 and 2 GHG emissions 100% by 2030 from a 2020 base year,x,,
AMF FASTIGHETER AB,['2030'],,,1,AMF Fastigheter also commits to reduce scope 3 GHG emissions 67% per square meter within the same timeframe,,,
AMICULUM Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
AMICULUM Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ AMICULUM Limited commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
ARC Alternative and Renewable Construction LLC,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
ARC Alternative and Renewable Construction LLC,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ARC Alternative and Renewable Construction LLC commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"ARC CO., LTD.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"ARC CO., LTD.",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/  ARC CO., LTD. commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
ARESTI CHILE WINE S.A.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
ARESTI CHILE WINE S.A.,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ARESTI CHILE WINE S.A. commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
ARGOS WITYU PARTNERS S.A.,['2030'],,,0,Headline target: Argos Wityu’s portfolio targets cover 97% of its total investment and lending activities by invested capital as of 2021,,,
ARGOS WITYU PARTNERS S.A.,['2030'],,,1,https://sciencebasedtargets.org/resources/files/Target-language-and-summary_Argos-Wityu,,,
ARGOS WITYU PARTNERS S.A.,['2030'],,,2,docx,,,
ARGOS WITYU PARTNERS S.A.,['2030'],,,3,pdf,,,
"AROC･SANWA Co.,Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"AROC･SANWA Co.,Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ AROC･SANWA Co,,,
"AROC･SANWA Co.,Ltd.",['2030'],,,2,",Ltd",,,
"AROC･SANWA Co.,Ltd.",['2030'],,,3,"commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
"ARROW-M CO., LTD.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"ARROW-M CO., LTD.",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ARROW-M CO., LTD. commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
ARÇELİK A.Ş.,['2030'],,,0,Turkish multinational home appliance manufacturer Arçelik commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year,x,,
ARÇELİK A.Ş.,['2030'],,,1,Arçelik also commits to reduce absolute scope 3 GHG emissions from the use of sold products 15% over the same timeframe,,,
AS&K Group Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
AS&K Group Ltd,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/,,,
AS&K Group Ltd,['2030'],,,2,"AS&K Group Ltd commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"ASAHI FIBER INDUSTRY CO., LTD.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"ASAHI FIBER INDUSTRY CO., LTD.",['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ASAHI FIBER INDUSTRY CO., LTD.commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"ASE Technology Holding, Co., Ltd.",['2030'],,,0,ASE Technology Holding Co,,,
"ASE Technology Holding, Co., Ltd.",['2030'],,,1,Ltd,,,
"ASE Technology Holding, Co., Ltd.",['2030'],,,2,commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2030 from a 2016 base year and commits to reduce absolute scope 3 GHG emissions 15% by 2030 from a 2020 base year,x,,
ASICS Corporation,['2030'],,,0,ASICS Corporation commits to reduce absolute scope 1 and 2 GHG emissions 63% by 2030 from a 2015 base year,x,,
ASICS Corporation,['2030'],,,1,ASICS Corporation also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and end-of-life treatment of sold products 63% over the same timeframe,,,
ASKON DEMIR CELIK SANAYI TICARET AS,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
ASKON DEMIR CELIK SANAYI TICARET AS,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ASKON DEMIR CELIK SANAYI TICARET AS commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
ASKUL Corporation,['2030'],,,0,ASKUL Corporation commits to reduce its absolute scope 1 and 2 GHG emissions to zero by 2030,x,,
ASKUL Corporation,['2030'],,,1,ASKUL Corporation also commits to reduce its absolute scope 3 emissions 12% by 2030 from a 2015 base year,x,,
ASKUL Corporation,['2030'],,,2,The scope 3 target covers purchased goods and services and upstream transportation and distribution,,,
ASL Global Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
ASL Global Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ ASL Global Limited commits to reduce absolute scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
ASML Holdings,['2025'],,,0,ASML commits to reduce absolute scope 1 and 2 GHG emissions 25,,,
ASML Holdings,['2025'],,,1,2% by 2025 from a 2019 base year,x,,
ASML Holdings,['2025'],,,2,ASML commits to reduce scope 3 GHG emissions 35,,,
ASML Holdings,['2025'],,,3,3% per unit of value added within the same timeframe,,,
ASOS plc,"['2031', '2026']",,,0,ASOS plc commits to reduce absolute scope 1 and 2 GHG emissions 87% per thousand orders fulfilled by FY2030/31 from a FY2018/19 base year,,,
ASOS plc,"['2031', '2026']",,,1,ASOS plc also commits to increase annual sourcing of renewable electricity from 12% in FY2018/19 to 100% in FY2025/26,,,
ASOS plc,"['2031', '2026']",,,2,ASOS plc commits to reduce absolute scope 3 GHG emissions from purchased goods and services and upstream transportation and distribution 58,,,
ASOS plc,"['2031', '2026']",,,3,2% on a per million pound value by FY2030/31 from a FY2018/19 base year,,,
ASOS plc,"['2031', '2026']",,,4,ASOS plc also commits that 66% of its suppliers by emissions covering purchased good and services will have set SBTs by FY2025/26,,,
ASTM S.p.A.,['2030'],,,0,"The global industrial Group ASTM, operating in the sectors of motorway management, large infrastructure engineering and construction projects and technology, commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2030 from a 2020 base year",x,,
ASTM S.p.A.,['2030'],,,1,ASTM also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 13% within the same timeframe,,,
AT&T Inc.,"['2030', '2024']",,,0,AT&T commits* to reduce absolute scope 1 and scope 2 GHG emissions 63% by 2030 from a 2015 base year,x,,
AT&T Inc.,"['2030', '2024']",,,1,"AT&T also commits that 50% of its suppliers by spend covering purchased goods and services, capital goods, and downstream leased assets will set science-based scope 1 and scope 2 targets by 2024",x,,
AT&T Inc.,"['2030', '2024']",,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
AU Optronics Corporation,['2025'],,,0,AU Optronics commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2025 from a 2018 base year,x,,
AVEVA Group,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",0,Overall Net-Zero Target AVEVA Group PLC commits to reach net-zero GHG emissions across the value chain by  FY2050,,x,x
AVEVA Group,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",1, Near-Term Targets AVEVA Group PLC commits to reduce absolute scope 1 and 2 GHG emissions 90% by  FY2030 from a FY2020 base year,x,,
AVEVA Group,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",2,AVEVA Group PLC also commits to increase annual  sourcing of renewable electricity from 1% in FY2020 to 100% by FY2030,x,,
AVEVA Group,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",3,AVEVA Group PLC  also commits to reduce absolute scope 3 GHG emissions 50% by FY2030 from a FY2020 base year,x,,
AVEVA Group,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",4,Long-Term Targets AVEVA Group PLC commits to maintain at least 90% absolute scope 1 and 2 GHG emission reductions from FY2030 through FY2050,x,x,x
AVEVA Group,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",5,AVEVA Group PLC also commits to reduce absolute scope 3 GHG emissions 90% by FY2050 from a FY2020 base year,,x,x
Aakel Technologies Inc.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Aakel Technologies Inc.,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Aakel Technologies Inc,,,
Aakel Technologies Inc.,['2030'],,,2,"commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
Aardvark Certification Ltd,['2030'],,,0,Aardvark Certification Ltd,,,
Aardvark Certification Ltd,['2030'],,,1,"commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Aasted ApS,,,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Aasted ApS,,,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Aasted ApS commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",,,
Abbott,['2030'],,,0,Abbott commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year,x,,
Abbott,['2030'],,,1,* Abbott also commits that 82% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have science-based targets by 2026,,,
Abbott,['2030'],,,2,*The target boundary includes land-related emissions and removals from bioenergy feedstocks,,,
Abdi Ibrahim Pharmaceuticals,['2030'],,,0,Abdi İbrahim commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2020 base year,x,,
Abdi Ibrahim Pharmaceuticals,['2030'],,,1,Abdi İbrahim also commits to reduce absolute scope 3 GHG emissions 45% within the same timeframe,,,
Abel & Cole Ltd.,['2030'],,,0,Abel & Cole commits to reduce absolute scopes 1 and 2 GHG emissions 42%% by 2030 from a 2020 base year,x,,
Abel & Cole Ltd.,['2030'],,,1,Abel & Cole also commits to reduce scope 3 GHG emissions 53,,,
Abel & Cole Ltd.,['2030'],,,2,5% per tonne of sold product within the same timeframe,,,
Abt Associates,['2027'],,,0,Abt Associates commits to reduce absolute scope 1 and 2 GHG emissions 38,,,
Abt Associates,['2027'],,,1,6% by 2027 from a 2019 base year,x,,
Abt Associates,['2027'],,,2,"Abt Associates also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities, business travel, and employee commuting 38",,,
Abt Associates,['2027'],,,3,6% within the same timeframe,,,
Accenture PLC,['2025'],,,0,"Global management consulting and professional services firm Accenture commits to reduce absolute scope 1, 2 and 3 GHG emissions 11% by 2025 from a 2016 base-year",x,,
Accenture PLC,['2025'],,,1,"This target includes a 65% reduction in scope 1 and 2 emissions, and represents a 40% per unit of revenue intensity reduction for scope 1, 2 and 3 GHG emissions over the same time period",,,
Accor S.A.,['2030'],,,0,Accor commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year,x,,
Accor S.A.,['2030'],,,1,"Accor also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy-related activities and franchises 28% over the same timeframe",,,
Aceros AZA S.A.,['2030'],,,0,Aceros AZA S.A. commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Acque Bresciane,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Acque Bresciane,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Acque Bresciane commits to reduce scope 1 and scope 2 GHG emissions 25% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Actiam NV,['2030'],,,0,Headline target: ACTIAM’s portfolio targets cover 82% of its total investment and lending activities by assets under management as of 2021,,,
Actiam NV,['2030'],,,1,https://sciencebasedtargets.org/resources/files/Target-language-and-summary_ACTIAM.docx,,,
Actiam NV,['2030'],,,2,pdf,,,
Action Sustainability (Trading) Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Action Sustainability (Trading) Ltd,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Action Sustainability commits to reduce absolute scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Aderen Consulting SL,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Aderen Consulting SL,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Aderen Consulting SL commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
Adidas AG,"['2025', '2030']",,,0,"Adidas AG commits to reduce absolute scope 1, 2 and 3 emissions by 30% by 2030 from a 2017 base year",x,,
Adidas AG,"['2025', '2030']",,,1,"Within that target, adidas AG commits to reduce absolute scope 1 and 2 GHG emissions by 90% by 2025 from a 2017 base year",x,,
Adidas AG,"['2025', '2030']",,,2,* *The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
"Adobe, Inc.",['2025'],,,0,Adobe Inc,,,
"Adobe, Inc.",['2025'],,,1,commits to reduce absolute scope 1 and 2 GHG emissions 35% by 2025 from a 2018 base year,x,,
"Adobe, Inc.",['2025'],,,2,Adobe commits to reduce absolute scope 3 GHG emissions from business travel 30% over the same timeframe,,,
"Adobe, Inc.",['2025'],,,3,"Adobe also commits that 55% of its suppliers by spend covering purchased goods and services and capital goods, will have science-based targets by 2025",x,,
